RefSoil_ID	NCBI_Accession_Number	RAST_ID
NC_018527	NC_018527.1	1229785.1
NC_018527	NC_018529.1	1229785.9
NC_018581	NC_018581.1	337191.8
NC_018584	NC_018584.1	882095.9
NC_018585	NC_018585.1	879088.9
NC_018586	NC_018586.1	879089.1
NC_018587	NC_018587.1	932919.7
NC_018588	NC_018588.1	932920.9
NC_018589	NC_018589.1	882020.9
NC_018591	NC_018591.1	863767.8
NC_018593	NC_018593.1	879090.1
NC_018609	NC_018609.1	1228997.6
NC_018624	NC_018624.1	1218358.6
NC_018642	NC_018642.1	882094.8
NC_018649	NC_018649.1	1048260.9
NC_018664	NC_018664.1	1128398.6
NC_018695	NC_018672.1	1229205.14
NC_018681	NC_018681.1	1133849.9
NC_018693	NC_018693.1	1195464.11
NC_018695	NC_018695.1	1229205.13
NC_018700	NC_018700.1	1230587.18
NC_018704	NC_018704.1	698758.9
NC_018708	NC_018708.1	358220.11
NC_018709	NC_018709.3	1201032.11
NC_018750	NC_018750.1	953739.33
NC_018866	NC_018866.1	1147129.12
NC_018867	NC_018867.1	1131462.12
NC_018876	NC_018876.1	1094980.9
NC_018877	NC_018877.1	527021.11
NC_019382	NC_019382.1	568707.9
NC_019567	NC_019567.1	1069642.8
NC_019670	NC_019670.1	1207075.7
NC_019673	NC_019673.1	1179773.8
NC_019676	NC_019676.1	317936.16
NC_019678	NC_019678.1	373994.11
NC_019680	NC_019680.1	195253.7
NC_019683	NC_019683.1	111781.11
NC_019689	NC_019689.1	118163.8
NC_019693	NC_019693.1	56110.7
NC_019695	NC_019695.1	251229.9
NC_019701	NC_019701.1	82654.7
NC_019702	NC_019702.1	1173263.7
NC_019703	NC_019703.1	1173025.7
NC_019729	NC_019729.1	179408.7
NC_019738	NC_019738.1	1173027.8
NC_019745	NC_019745.1	1173026.7
NC_019748	NC_019748.1	111780.7
NC_019757	NC_019757.1	56107.11
NC_019776	NC_019776.1	755178.9
NC_019780	NC_019780.1	13035.7
NC_019793	NC_019793.1	937777.6
NC_019842	NC_019842.1	1225788.9
NC_019845	NC_019845.2	1235461.9
NC_019892	NC_019892.1	886293.17
NC_019897	NC_019897.1	717605.6
NC_019903	NC_019903.1	871963.1
NC_019936	NC_019936.1	644801.9
NC_019973	NC_019973.1	754035.9
NC_020059	NC_020059.1	698761.12
NC_020089	NC_020089.1	1138877.7
NC_020126	NC_020126.1	1278073.7
NC_020164	NC_020164.1	1194526.9
NC_020207	NC_020207.1	1104325.12
NC_020209	NC_020209.1	1282356.11
NC_020210	NC_020210.1	1233873.8
NC_020211	NC_020211.1	435998.15
NC_020238	NC_020238.1	1279365.8
NC_020244	NC_020244.1	1233100.1
NC_020272	NC_020272.1	1091041.13
NC_020291	NC_020291.1	931276.17
NC_020302	NC_020302.1	1121362.7
NC_020376	NC_020376.1	1286404.7
NC_020386	NC_020386.1	1193807.8
NC_020387	NC_020387.1	1193806.7
NC_020417	NC_020417.1	543913.6
NC_020418	NC_020418.1	1124991.9
NC_020453	NC_020453.1	1245469.1
NC_020504	NC_020504.1	1214101.14
NC_020506	NC_020506.1	1121353.9
NC_020507	NC_020507.1	1147161.11
NC_020516	NC_020516.1	748247.17
NC_020519	NC_020519.1	1204414.6
NC_020520	NC_020520.1	1313172.7
NC_020528	NC_020528.1	1286640.11
NC_020541	NC_020541.1	666685.1
NC_020561	NC_020561.1	745310.15
NC_020799	NC_020799.1	1262456.6
NC_020812	NC_020812.1	349215.12
NC_020813	NC_020813.1	1184267.1
NC_020829	NC_020829.1	1294143.9
NC_020832	NC_020832.1	1302650.8
NC_020887	NC_020887.2	1121335.12
NC_020895	NC_020895.1	1203460.14
NC_020912	NC_020912.1	1280938.8
NC_020990	NC_020990.1	457425.33
NC_021055	NC_021055.1	1265601.14
NC_021058	NC_021058.1	1241935.9
NC_021066	NC_021066.1	1286170.1
NC_021149	NC_021149.1	1283330.9
NC_021150	NC_021150.1	1283331.6
NC_021171	NC_021171.1	666686.6
NC_021172	NC_021172.1	670307.7
NC_021173	NC_021173.1	1249661.1
NC_021173	NC_021174.1	1249661.9
NC_021176	NC_021176.1	527001.7
NC_021177	NC_021177.1	1303692.16
NC_021182	NC_021182.1	86416.8
NC_021184	NC_021184.1	767817.8
NC_021191	NC_021191.1	649831.9
NC_021200	NC_021200.1	1199187.9
NC_021237	NC_021237.1	1124983.25
NC_021362	NC_021362.1	766760.1
NC_021487	NC_021487.1	1303518.9
NC_021491	NC_021491.1	1331671.8
NC_021500	NC_021500.1	1166130.12
NC_021577	NC_021577.1	1340851.9
NC_021591	NC_021591.1	682634.9
NC_021592	NC_021592.1	333146.17
NC_021658	NC_021658.1	1254432.8
NC_021659	NC_021659.1	1348660.9
NC_021663	NC_021663.1	1200352.8
NC_021726	NC_021726.1	1096995.8
NC_021729	NC_021729.1	1096997.8
NC_021733	NC_021733.1	1096996.7
NC_021741	NC_021741.1	1346614.11
NC_021831	NC_021831.1	754503.8
NC_021902	NC_021902.1	877468.7
NC_021905	NC_021905.1	1328306.1
NC_021985	NC_021985.1	1214242.14
NC_021991	NC_021991.1	1266844.13
NC_022000	NC_022000.1	1266738.1
NC_022041	NC_022041.1	1367847.9
NC_022080	NC_022080.4	1345697.8
NC_022081	NC_022081.1	1150476.9
NC_022115	NC_022115.1	1136179.12
NC_022247	NC_022234.1	1246301.1
NC_022247	NC_022247.1	1246301.11
NC_022443	NC_022443.1	1194085.6
NC_022513	NC_022513.1	1366050.14
NC_022513	NC_022514.1	1366050.16
NC_022513	NC_022515.1	1366050.15
NC_022566	NC_022566.1	1244085.15
NC_022571	NC_022571.1	1345695.7
NC_022653	NC_022653.1	1412898.1
NC_022657	NC_022657.1	1246995.9
NC_022660	NC_022660.1	1358410.8
NC_022663	NC_022663.1	557599.54
NC_022738	NC_022738.1	69328.8
NC_022781	NC_022781.1	1415784.9
NC_022794	NC_022794.1	1399115.9
NC_022795	NC_022795.1	1123384.5
NC_022873	NC_022873.1	529122.8
NC_022904	NC_022904.2	1416914.1
NC_022964	NC_022964.1	1388758.6
NC_022997	NC_022997.1	1029756.9
NC_023019	NC_023019.1	1415629.9
NC_023037	NC_023037.2	1429244.8
NC_023064	NC_023064.1	1415630.8
NC_023073	NC_023073.1	1415165.9
NC_023075	NC_023075.1	1435044.7
NC_023076	NC_023076.1	1435058.7
NC_023149	NC_023149.1	1427342.8
NZ_CM001165	NZ_CM001165.1	355249.18
NZ_CM001763	NZ_CM001763.1	1260626.9
NZ_CM002024	NZ_CM002024.1	1300225.12
NZ_CM002024	NZ_CM002025.1	1300225.11
NZ_CM002139	NZ_CM002139.1	1219375.6
NZ_CM002177	NZ_CM002177.1	191292.18
NZ_CM002330	NZ_CM002330.1	1395516.6
NZ_CM002395	NZ_CM002395.1	1412844.6
NZ_CM002398	NZ_CM002398.1	1412842.6
NZ_CM002401	NZ_CM002401.1	1412843.6
NZ_CM002755	NZ_CM002755.1	1457195.9
NZ_CM002757	NZ_CM002757.1	1394180.1
NZ_CM002796	NZ_CM002796.1	682633.6
NZ_CP001970	NZ_CP001970.1	743835.6
NZ_CP001974	NZ_CP001974.1	673518.11
NZ_CP002190	NZ_CP002190.1	765869.8
NZ_CP002871	NZ_CP002871.1	1010834.6
NZ_CP003181	NZ_CP003181.1	1052004.6
NZ_CP003915	NZ_CP003915.1	1247726.7
NZ_CP003923	NZ_CP003923.1	1246626.6
NZ_CP003949	NZ_CP003949.1	543736.11
NZ_CP003999	NZ_CP003999.1	1123862.13
NZ_CP004078	NZ_CP004078.1	1268072.6
NZ_CP004383	NZ_CP004383.1	1249667.8
NZ_CP004383	NZ_CP004384.1	1249667.9
NZ_CP004870	NZ_CP004870.1	1261129.8
NZ_CP006581	NZ_CP006581.1	763057.17
NZ_CP006587	NZ_CP006587.1	1356852.7
NZ_CP006644	NZ_CP006644.1	1123269.12
NZ_CP006696	NZ_CP006696.1	155920.1
NZ_CP006742	NZ_CP006742.1	1392837.6
NZ_CP006772	NZ_CP006772.1	1400053.7
NZ_CP006850	NZ_CP006850.1	1415166.9
NZ_CP006872	NZ_CP006872.1	1413214.8
NZ_CP006890	NZ_CP006890.1	1423138.6
NZ_CP006961	NZ_CP006961.1	1004954.9
NZ_CP006961	NZ_CP006962.1	1004954.1
NZ_CP006983	NZ_CP006983.1	1408273.6
NZ_CP006986	NZ_CP006986.1	1432050.11
NZ_CP007033	NZ_CP007033.1	871738.7
NZ_CP007039	NZ_CP007039.1	1441629.7
NZ_CP007044	NZ_CP007044.2	1441930.11
NZ_CP007045	NZ_CP007045.1	754523.1
NZ_CP007067	NZ_CP007067.1	1033991.1
NZ_CP007139	NZ_CP007139.1	661478.7
NZ_CP007155	NZ_CP007155.1	1449976.8
NZ_CP007172	NZ_CP007172.1	1457190.6
NZ_CP007201	NZ_CP007201.1	1150621.25
NZ_CP007208	NZ_CP007208.1	1288.91
NZ_CP007225	NZ_CP007225.1	1435057.12
NZ_CP007225	NZ_CP007226.1	1435057.11
NZ_CP007230	NZ_CP007230.1	367190.1
NZ_CP007236	NZ_CP007236.1	1416753.9
NZ_CP007236	NZ_CP007237.1	1416753.8
NZ_CP007243	NZ_CP007243.1	1441628.8
NZ_CP007409	NZ_CP007409.1	1404258.7
NZ_CP007410	NZ_CP007410.1	930166.16
NZ_CP007441	NZ_CP007441.1	316.114
NZ_CP007452	NZ_CP007452.1	1286171.6
NZ_CP007481	NZ_CP007481.1	1286528.8
NZ_CP007492	NZ_CP007492.1	1639.1298
NZ_CP007499	NZ_CP007499.1	1280.5054
NZ_CP007506	NZ_CP007506.2	93220.31
NZ_CP007514	NZ_CP007514.1	42256.6
NZ_CP007546	NZ_CP007546.1	1421338.1
NZ_CP007557	NZ_CP007557.1	1333848.9
NZ_CP007569	NZ_CP007569.1	476282.1
NZ_CP007574	NZ_CP007574.1	68570.12
NZ_CP007597	NZ_CP007597.1	216778.15
NZ_CP007600	NZ_CP007600.1	1639.1299
NZ_CP007607	NZ_CP007607.1	570416.13
NZ_CP007618	NZ_CP007618.1	1392.27
NZ_CP007620	NZ_CP007620.1	303.193
NZ_CP007627	NZ_CP007627.1	96345.74
NZ_CP007638	NZ_CP007638.1	1495331.7
NZ_CP007656	NZ_CP007656.1	959.13
NZ_CP007663	NZ_CP007662.1	235.47
NZ_CP007663	NZ_CP007663.1	235.46
NZ_CP007666	NZ_CP007666.1	261591.14
NZ_CP007681	NZ_CP007680.1	235.48
NZ_CP007681	NZ_CP007681.1	235.49
NZ_CP007704	NZ_CP007704.1	1392.271
NZ_CP007705	NZ_CP007705.1	520455.11
NZ_CP007705	NZ_CP007706.1	520455.1
NZ_CP007739	NZ_CP007739.1	796606.7
NZ_CP007765	NZ_CP007764.1	520450.1
NZ_CP007765	NZ_CP007765.1	520450.11
NZ_CP007783	NZ_CP007782.1	95486.82
NZ_CP007783	NZ_CP007783.1	95486.83
NZ_CP007783	NZ_CP007784.1	95486.84
NZ_CP007787	NZ_CP007785.1	292.11
NZ_CP007787	NZ_CP007786.1	292.111
NZ_CP007787	NZ_CP007787.1	292.109
NZ_CP007789	NZ_CP007788.1	520465.1
NZ_CP007789	NZ_CP007789.1	520465.9
NZ_CP007793	NZ_CP007793.1	192.52
NZ_CP007800	NZ_CP007800.1	1232554.5
NZ_CP007803	NZ_CP007803.1	1249615.7
NZ_CP008696	NZ_CP008696.1	587753.16
NZ_CP008698	NZ_CP008698.1	1221328.7
NZ_CP008730	NZ_CP008728.1	87883.75
NZ_CP008730	NZ_CP008729.1	87883.74
NZ_CP008730	NZ_CP008730.1	87883.73
NZ_CP008752	NZ_CP008752.1	1392.272
NZ_CP008760	NZ_CP008760.1	266265.29
NZ_CP008760	NZ_CP008761.1	266265.27
NZ_CP008760	NZ_CP008762.1	266265.28
NZ_CP008841	NZ_CP008841.1	571.119
NZ_CP008846	NZ_CP008846.1	1392.273
NZ_CP008852	NZ_CP008852.1	484770.6
NZ_CP008884	NZ_CP008884.1	1217721.9
NZ_CP008896	NZ_CP008896.1	294.196
NZ_CP008920	NZ_CP008920.1	588.15
NZ_CP008923	NZ_CP008923.1	1719.615
NZ_CP008926	NZ_CP008926.1	1314.215
NZ_CP008943	NZ_CP008943.1	633.72
NZ_CP008957	NZ_CP008957.1	155864.48
NZ_HF545616	NZ_HF545616.1	1160721.14
NZ_HF545616	NZ_HF545617.1	1160721.15
NZ_HG326223	NZ_HG326223.1	273526.17
NZ_HG916852	NZ_HG916852.1	348824.8
NZ_HG938353	NZ_HG938353.1	1028800.8
NZ_HG938355	NZ_HG938355.1	1028801.7
