SampleID	LONGITUDE	LATITUDE	COUNTRY	Soil_Order	Order_Name
KA2F.A.06.674157	-88.230357	41.841116	GAZ:United States of America	9	Mollisols
CL3.2.378520	-80.76578	33.673864	GAZ:United States of America	8	Ultisols
TVF.Control.Loc2.D10.Rep1.414449	-145.8	64.33	GAZ:United States of America	11	Inceptisols
KA1F.D.08.674015	-88.230357	41.841521	GAZ:United States of America	9	Mollisols
UPSub.18.19.646815	-71.37761	42.06	GAZ:United States of America	10	Alfisols
UPSub.271.272A.646775	-71.37761	42.06	GAZ:United States of America	10	Alfisols
MF.1.15.660563	-155.763516	20.125797	GAZ:United States of America	4	Andisols
KA3F.D.18.674584	-88.230357	41.84073	GAZ:United States of America	9	Mollisols
UPMain.30.31A.646667	-71.37761	42.06	GAZ:United States of America	10	Alfisols
UPSub.96.97.646826	-71.37761	42.06	GAZ:United States of America	10	Alfisols
UPMain.24.25.646831	-71.37761	42.06	GAZ:United States of America	10	Alfisols
A2.low0.26to0.30.646998	-156.51275	71.215467	GAZ:United States of America	1	Gelisols
UPMain.107.108B.646967	-71.37761	42.06	GAZ:United States of America	10	Alfisols
Soil.BE.PolygonB.Shallow.Rim.7.15.2012.733856	-156.766389	71.295556	GAZ:United States of America	1	Gelisols
UPMain.40.41B.646785	-71.37761	42.06	GAZ:United States of America	10	Alfisols
KA2F.A.01.674130	-88.230357	41.841116	GAZ:United States of America	9	Mollisols
Biofilm.A.E1.2.C.2012.733938	-156.766389	71.295556	GAZ:United States of America	1	Gelisols
C.4.15.660498	-155.84473	20.091661	GAZ:United States of America	4	Andisols
KA3U.B.02.674192	-88.230357	41.840719	GAZ:United States of America	9	Mollisols
UPMain.107.108A.646628	-71.37761	42.06	GAZ:United States of America	10	Alfisols
KA3U.B.13.674009	-88.230357	41.840719	GAZ:United States of America	9	Mollisols
KA2U.A.13.674110	-88.230357	41.841111	GAZ:United States of America	9	Mollisols
PP.21.22B.646941	-71.3412	42.30844	GAZ:United States of America	10	Alfisols
KA1U.D.10.674344	-88.230357	41.841527	GAZ:United States of America	9	Mollisols
HI.20.11a.414621	-155.288722	19.930815	GAZ:United States of America	4	Andisols
KA2F.A.04.674049	-88.230357	41.841116	GAZ:United States of America	9	Mollisols
KA1F.A.06.674561	-88.230357	41.841521	GAZ:United States of America	9	Mollisols
KA3U.E.14.674313	-88.230357	41.840717	GAZ:United States of America	9	Mollisols
KA3U.A.23.674505	-88.230357	41.840733	GAZ:United States of America	9	Mollisols
SKD5.640186	-117.241111	33.193611	GAZ:United States of America	10	Alfisols
KA1U.C.15.674674	-88.230357	41.841526	GAZ:United States of America	9	Mollisols
KA3U.C.02.674287	-88.230357	41.840715	GAZ:United States of America	9	Mollisols
KA3U.C.08.674522	-88.230357	41.840715	GAZ:United States of America	9	Mollisols
KA3U.C.25.674682	-88.230357	41.840715	GAZ:United States of America	9	Mollisols
KA3U.A.22.674295	-88.230357	41.840733	GAZ:United States of America	9	Mollisols
TVF.2010.Loc5.D10.Rep5.414504	-145.69	64.33	GAZ:United States of America	0	Sand,Rock,Ice
KA3F.C.22.674658	-88.230357	41.840718	GAZ:United States of America	9	Mollisols
O1.high0.36to0.41.647024	-156.388733	71.2466	GAZ:United States of America	1	Gelisols
TVF.Control.Loc2.D10.Rep4.414497	-145.8	64.33	GAZ:United States of America	11	Inceptisols
M.3.15.660543	-155.764218	20.123285	GAZ:United States of America	4	Andisols
UPMain.14.15A.646906	-71.37761	42.06	GAZ:United States of America	10	Alfisols
KA2U.C.04.674675	-88.230357	41.841121	GAZ:United States of America	9	Mollisols
UPMain.127.128.646767	-71.37761	42.06	GAZ:United States of America	10	Alfisols
UPMain.77.78.646891	-71.37761	42.06	GAZ:United States of America	10	Alfisols
KA1U.C.06.674409	-88.230357	41.841526	GAZ:United States of America	9	Mollisols
UPMain.117.118.646812	-71.37761	42.06	GAZ:United States of America	10	Alfisols
UPMain.39.40A.646877	-71.37761	42.06	GAZ:United States of America	10	Alfisols
KA1U.B.18.674141	-88.230357	41.841519	GAZ:United States of America	9	Mollisols
UPMain.17.18A.646966	-71.37761	42.06	GAZ:United States of America	10	Alfisols
Biofilm.C.DC.2.C.2012.733893	-156.766389	71.295556	GAZ:United States of America	1	Gelisols
UPMain.88.89.646651	-71.37761	42.06	GAZ:United States of America	10	Alfisols
KA1F.D.16.674219	-88.230357	41.841521	GAZ:United States of America	9	Mollisols
KA3U.C.22.674063	-88.230357	41.840715	GAZ:United States of America	9	Mollisols
KA3F.D.11.674187	-88.230357	41.84073	GAZ:United States of America	9	Mollisols
TVF.2010.Loc5.D0.Rep5.414410	-145.69	64.33	GAZ:United States of America	0	Sand,Rock,Ice
KA3U.E.05.674143	-88.230357	41.840717	GAZ:United States of America	9	Mollisols
KA3F.E.06.674044	-88.230357	41.840733	GAZ:United States of America	9	Mollisols
KA1F.C.02.674021	-88.230357	41.841514	GAZ:United States of America	9	Mollisols
DP.101.102B.646692	-71.3412	42.30844	GAZ:United States of America	10	Alfisols
KA3F.E.08.674197	-88.230357	41.840733	GAZ:United States of America	9	Mollisols
UPSub.25.26.646787	-71.37761	42.06	GAZ:United States of America	10	Alfisols
UPMain.82.83.646759	-71.37761	42.06	GAZ:United States of America	10	Alfisols
KA3F.A.02.674406	-88.230357	41.840732	GAZ:United States of America	9	Mollisols
TVF.2004.Loc2.D10.Rep2.414431	-145.64	64.35	GAZ:United States of America	11	Inceptisols
Soil.BE.PolygonB.Medium.Center.7.8.2012.733857	-156.766389	71.295556	GAZ:United States of America	1	Gelisols
UPMain.85.86.646700	-71.37761	42.06	GAZ:United States of America	10	Alfisols
Soil.BE.PolygonA.Shallow.Rim.7.8.2012.733882	-156.766389	71.295556	GAZ:United States of America	1	Gelisols
KA2U.C.12.674216	-88.230357	41.841121	GAZ:United States of America	9	Mollisols
KA2F.D.01.674043	-88.230357	41.84112	GAZ:United States of America	9	Mollisols
A2.low0.36to0.40.647023	-156.51275	71.215467	GAZ:United States of America	1	Gelisols
UPMain.64.65.646793	-71.37761	42.06	GAZ:United States of America	10	Alfisols
KA2F.B.14.674635	-88.230357	41.841124	GAZ:United States of America	9	Mollisols
KA1F.A.20.674273	-88.230357	41.841521	GAZ:United States of America	9	Mollisols
Soil.BE.PolygonC.Medium.Rim.7.8.2012.733870	-156.766389	71.295556	GAZ:United States of America	1	Gelisols
UPSub.46.47.646686	-71.37761	42.06	GAZ:United States of America	10	Alfisols
TVF.2010.Loc3.D10.Rep1.414508	-145.69	64.33	GAZ:United States of America	0	Sand,Rock,Ice
TVF.2004.Loc5.D10.Rep3.414396	-145.64	64.35	GAZ:United States of America	11	Inceptisols
C.3.0.660558	-155.84473	20.091661	GAZ:United States of America	4	Andisols
SV1.4.378528	-106.466218	31.712235	GAZ:United States of America	12	Entisols
